s1,s2,s3,s4,s5,s6,label
10124,32767,32767,32767,-32768,27407,tilt
-1,-1,-1,-1,-1,-1,tilt
-9816,12796,25788,0,0,0,tilt
-1,-1,-1,-1,-1,-1,tilt
-7612,29392,32767,0,0,0,tilt
-1,-1,-1,-1,-1,-1,tilt
9988,32767,11052,-32768,32767,-32768,tilt
12152,32767,-5500,-32768,32767,-32768,tilt
9920,20528,-28580,-32768,32767,-30316,tilt
2552,-12628,-32768,16529,13054,-12950,tilt
12344,-5256,-20584,32767,-32768,29440,tilt
10164,23840,2160,32767,-32768,32767,tilt
3128,32767,23280,32767,-32768,32767,tilt
-10140,32767,32767,32767,-32768,32767,tilt
-1,-1,-1,-1,-1,-1,tilt
-608,32767,32767,-32768,32767,-21871,tilt
-1,-1,-1,-1,-1,-1,tilt
-1,-1,-1,-1,-1,-1,tilt
7624,32124,-12308,-32768,32767,-32768,tilt
10220,12776,-25620,-32768,32767,-32768,tilt
4748,-7220,-32768,-3348,19206,-19051,tilt
11232,-10412,-28328,32767,-32768,22861,tilt
10852,16280,-4676,32767,-32768,32767,tilt
7980,32767,16128,32767,-32768,32767,tilt
-4788,32767,32767,32767,-32768,32767,tilt
-1,-1,-1,-1,-1,-1,tilt
-3852,32767,32767,0,0,0,tilt
-436,32767,32767,-32768,32767,-32209,tilt
-1,-1,-1,-1,-1,-1,tilt
6468,32767,848,-32768,32767,-32768,tilt
10632,21096,-17544,-32768,32767,-32768,tilt
5128,1348,-32768,-25955,32767,-27876,tilt
5764,-12760,-32768,32767,-32768,5814,tilt
10308,5420,-12088,32767,-32768,32767,tilt
12188,28688,8004,32767,-32768,32767,tilt
2524,32767,23124,32767,-32768,32767,tilt
-828,32767,32767,32767,-29900,32767,tilt
-1,-1,-1,-1,-1,-1,tilt
0,0,0,0,0,0,tilt
-1,-1,-1,-1,-1,-1,tilt
-1,-1,-1,-1,-1,-1,tilt
4184,32767,10276,-32768,32767,-32768,tilt
7860,29272,-272,-32768,32767,-32768,tilt
8828,19032,-15416,-32768,32767,-32768,tilt
4812,-1684,-32768,-26463,24127,-16294,tilt
10624,-7864,-32768,32767,-32768,19372,tilt
16844,27156,-3956,32767,-32768,32767,tilt
13540,32767,19472,32767,-32768,32767,tilt
-1,-1,-1,-1,-1,-1,tilt
-5872,32767,32767,0,0,0,tilt
-4348,29652,32767,6950,2821,3410,tilt
-952,32767,29368,-32768,32767,-20889,tilt
-7684,15040,20768,0,0,0,tilt
5980,32767,9052,-32768,32767,-32768,tilt
9596,32767,5044,-32768,32767,-32768,tilt
11336,26888,-8528,-32768,32767,-32768,tilt
5324,336,-32768,-32768,32767,-16723,tilt
3472,-15404,-32768,32767,-32768,17731,tilt
10316,24412,-4668,32767,-32768,32767,tilt
8216,32767,19068,32767,-32768,32767,tilt
-1,-1,-1,-1,-1,-1,tilt
-11120,29340,32767,0,0,0,tilt
-7704,26108,19316,32767,12920,27873,tilt
-1,-1,-1,-1,-1,-1,tilt
-2208,24916,4508,0,0,0,tilt
-1060,24260,900,-32768,21355,-32768,tilt
1052,26876,3408,-32768,16012,-32768,tilt
-248,30412,5856,-32768,16034,-32768,tilt
-1272,32116,8208,-32768,15338,-32768,tilt
3216,27520,6428,-32768,22034,-32768,tilt
9224,16528,-6404,-32768,32767,-32768,tilt
4284,-11980,-32768,-32768,21121,-9462,tilt
-268,-16592,-32768,32767,-32768,23747,tilt
6664,23272,152,32767,-32768,32767,tilt
2436,32767,18024,32767,-32768,32767,tilt
-3700,32767,24292,32767,-11526,32767,tilt
-6672,26044,23264,32767,1431,32767,tilt
-10560,20988,19060,29273,-5855,29161,tilt
-11100,22144,16628,-23647,-9463,7003,tilt
-4788,22744,12044,-32768,8670,-15415,tilt
-2336,28804,6352,-32768,20088,-31600,tilt
-1336,28292,7900,-32768,6586,-31691,tilt
84,25812,12044,-32768,8729,-26956,tilt
3340,18960,10824,-32768,22837,-15853,tilt
-1,-1,-1,-1,-1,-1,tilt
-6824,-13840,-26376,442,-5934,7280,tilt
-3928,-1300,-13236,32767,-32768,8577,tilt
7076,25416,10092,32767,-31819,16135,tilt
176,32767,19012,32767,-9628,24696,tilt
-164,32664,17552,32767,-3461,26945,tilt
