s1,s2,s3,s4,s5,s6,label
-9908,2072,12404,4207,2706,-19848,shake
-8168,2944,14236,7369,6380,-25123,shake
-4956,2700,17240,8153,9874,-28487,shake
584,2284,20236,7716,9513,-29373,shake
6252,2112,23136,4257,6224,-25396,shake
12608,1484,23708,-2053,2742,-14786,shake
14624,452,21624,-6765,-1256,962,shake
12944,1692,18212,-6661,-3964,14896,shake
9548,3452,16608,-3168,-6430,23783,shake
7352,4656,15400,2395,-5997,29322,shake
3064,4192,15224,9580,-3499,32767,shake
-7156,3240,18384,13453,-2354,32767,shake
-17552,2612,22356,8774,-4168,25592,shake
-21560,1760,23120,-1152,-1066,9215,shake
-19924,1108,18444,-9698,523,-7644,shake
-14496,3132,13776,-11140,3936,-20415,shake
-9040,4544,11668,-8433,7058,-27023,shake
-3600,5328,11764,-2537,8161,-29597,shake
316,4456,14552,4044,8500,-28663,shake
2696,2180,19368,6282,5407,-26036,shake
6132,2004,22664,2314,1128,-21021,shake
10176,1232,21840,-3446,-6325,-12198,shake
12836,524,19156,-5294,-9739,-142,shake
11912,908,15852,-2224,-12278,11580,shake
11192,2800,13964,4645,-14162,19952,shake
9028,3096,16244,12222,-7918,29376,shake
4164,3128,17096,15437,1641,32767,shake
-3468,4516,17388,15282,7849,32767,shake
-13664,5124,20632,12141,5471,32767,shake
-22604,5612,23600,1891,2328,17881,shake
-23524,4468,22336,-4543,496,6704,shake
-16656,3940,13680,-11985,-326,-20741,shake
-10332,5380,11152,-9363,2319,-30091,shake
-4772,5944,11188,-3803,4089,-32768,shake
1328,4992,13684,3678,5631,-32768,shake
8540,3476,18292,6835,6791,-28114,shake
10072,384,22528,4240,5080,-15336,shake
9320,476,23564,-1152,46,-5639,shake
10580,1480,21096,-5594,-6273,2554,shake
10144,2996,17204,-4892,-9551,11626,shake
8748,3032,14632,1462,-10687,18607,shake
6036,2340,15284,9817,-5670,23920,shake
-116,1180,17688,14016,-761,28115,shake
-9832,1020,21812,13031,-362,26804,shake
-17112,3048,25272,1689,-1481,14978,shake
-1,-1,-1,-1,-1,-1,shake
-14876,3716,15384,-15220,-3363,-16309,shake
-9376,5284,11564,-14181,-848,-25328,shake
-5116,5372,10404,-8687,3242,-29656,shake
-712,4756,11356,-1112,6738,-31125,shake
5728,2780,14568,5061,10006,-27016,shake
11088,596,19200,6821,9491,-16138,shake
14608,-56,21984,4628,3377,-2739,shake
16340,1688,20832,1237,-1298,11521,shake
13776,3812,17580,1489,-1815,24784,shake
8296,4840,15908,5804,523,32767,shake
-2840,2824,17620,10627,3136,32767,shake
-12436,4004,20772,8042,4541,30509,shake
-17952,4188,22352,-325,2089,14584,shake
-18608,2036,19364,-7985,-1184,-2763,shake
-14536,3108,15272,-10523,-1978,-15651,shake
-9208,4384,13560,-9437,-550,-23531,shake
-5352,4948,13172,-6477,923,-27211,shake
384,4872,14016,-2886,3094,-28057,shake
6572,1892,16512,-109,4883,-21703,shake
9252,-940,18880,1062,4936,-10280,shake
9148,-1524,21636,-753,1976,-160,shake
8900,692,20748,-4027,-1251,7734,shake
8380,1772,17768,-4675,-2961,14540,shake
7128,1680,15500,-937,-594,20733,shake
4204,1252,14588,4642,3090,25618,shake
-2280,468,16292,10014,4126,27385,shake
-9192,1984,19312,9084,2081,23076,shake
-11680,3304,20392,3465,-682,12888,shake
-11404,2688,18404,-1495,-4785,4074,shake
-10824,1872,15228,-2725,-5509,-3008,shake
-10836,2284,14052,-997,-6523,-9269,shake
-10624,3072,14200,120,-8045,-15989,shake
-10256,3552,15240,-148,-8113,-23911,shake
-7728,4352,16496,-1689,-3851,-31001,shake
-4288,3952,17764,-3812,312,-32768,shake
1632,4232,18280,-5488,4721,-32768,shake
8100,4528,18848,-6087,5530,-29108,shake
12460,3460,19160,-5476,2562,-18739,shake
12820,752,18880,-4579,-3516,-6909,shake
13320,-580,17484,-2788,-7258,4470,shake
-1,-1,-1,-1,-1,-1,shake
11428,256,15372,1467,-6945,16263,shake
7436,2448,13444,13007,-1255,29330,shake
1688,1928,14952,20936,500,32767,shake
-6964,3048,19788,22065,-399,32767,shake
-11744,5072,22952,14332,-885,24575,shake
-15576,5848,24376,2747,1111,9915,shake
-15228,3276,20672,-6143,1488,-5091,shake
-12792,3200,17028,-9876,1385,-15304,shake
-9776,3440,14676,-9097,2808,-23544,shake
-6236,3872,14704,-6470,4418,-29258,shake
-1160,4564,14832,-4953,8516,-30643,shake
3064,3860,15100,-2139,11281,-27216,shake
